net,epoch,model,avg_psnr,avg_ssim
net2,125,DehazeNet_epoch125.pth,18.978838414398222,0.8826039690971375
net2,126,DehazeNet_epoch126.pth,18.835220377342022,0.8811178635358811
net2,127,DehazeNet_epoch127.pth,18.873179257317087,0.8781265646219254
net2,128,DehazeNet_epoch128.pth,18.83197338185477,0.8813581985235214
net2,129,DehazeNet_epoch129.pth,19.01968388969577,0.8829762994050979
net2,130,DehazeNet_epoch130.pth,18.929154919827756,0.8836682770252228
net2,131,DehazeNet_epoch131.pth,18.87789590121685,0.8829686272144318
net2,132,DehazeNet_epoch132.pth,18.952112268777597,0.8838771780729294
net2,133,DehazeNet_epoch133.pth,19.042977365868506,0.8824373615980148
net2,134,DehazeNet_epoch134.pth,18.74389717823189,0.881493849992752
net2,135,DehazeNet_epoch135.pth,19.089715413415085,0.8821224502325058
net2,136,DehazeNet_epoch136.pth,18.81753269881016,0.8830560108423233
net2,137,DehazeNet_epoch137.pth,19.075430066765747,0.8823234198093415
net2,138,DehazeNet_epoch138.pth,18.912214399558923,0.8843593909740448
net2,139,DehazeNet_epoch139.pth,19.093222918426,0.8834246041774749
net2,140,DehazeNet_epoch140.pth,18.948428216762217,0.8833611842393875
net2,141,DehazeNet_epoch141.pth,19.062126864736257,0.882971271276474
net2,142,DehazeNet_epoch142.pth,19.04142766141939,0.8840841178894043
net2,143,DehazeNet_epoch143.pth,19.047884492690322,0.882848421216011
net2,144,DehazeNet_epoch144.pth,19.091164101922907,0.8842251757383347
net2,145,DehazeNet_epoch145.pth,19.000881112910427,0.8791711345911026
net2,146,DehazeNet_epoch146.pth,19.08108859222531,0.8825193083286286
net2,147,DehazeNet_epoch147.pth,18.90042615001054,0.8838414567708969
net2,148,DehazeNet_epoch148.pth,18.969813020673264,0.8854349198341369
net2,149,DehazeNet_epoch149.pth,19.06299238785242,0.8821236426830292
net2,150,DehazeNet_epoch150.pth,19.009394855309036,0.8843658428192138
net2,151,DehazeNet_epoch151.pth,19.0461459416947,0.8846597148180008
net2,152,DehazeNet_epoch152.pth,19.027519808722012,0.8832932084798812
net2,153,DehazeNet_epoch153.pth,18.928312768226483,0.8839705399274826
net2,154,DehazeNet_epoch154.pth,18.70121646236836,0.8805345091819763
net2,155,DehazeNet_epoch155.pth,18.882619031146795,0.8823317204713821
net2,156,DehazeNet_epoch156.pth,19.04314495182184,0.8847176842689514
net2,157,DehazeNet_epoch157.pth,19.00722039790885,0.8827018278837204
net2,158,DehazeNet_epoch158.pth,19.00836200499259,0.883252209186554
net2,159,DehazeNet_epoch159.pth,18.834523492398862,0.8827184805870056
net2,160,DehazeNet_epoch160.pth,19.0347016435325,0.8849303786754608
net2,161,DehazeNet_epoch161.pth,18.709398686573092,0.8813780118227005
net2,162,DehazeNet_epoch162.pth,19.10027824830713,0.8839063276052475
net2,163,DehazeNet_epoch163.pth,19.06191508436937,0.8844553896188736
net2,164,DehazeNet_epoch164.pth,18.922950655236804,0.8789686533212662
net2,165,DehazeNet_epoch165.pth,19.034171914699492,0.8840853182077408
net2,166,DehazeNet_epoch166.pth,19.024822814404985,0.8843610719442367
net2,167,DehazeNet_epoch167.pth,19.029105729686545,0.8836488091945648
net2,168,DehazeNet_epoch168.pth,19.10145848369229,0.8826256438493728
net2,169,DehazeNet_epoch169.pth,18.93299734804493,0.8835226998329163
net2,170,DehazeNet_epoch170.pth,18.984847688460015,0.8841517728567123
net2,171,DehazeNet_epoch171.pth,19.089769598603677,0.8838529678583145
net2,172,DehazeNet_epoch172.pth,18.99851712930806,0.8843544968366623
net2,173,DehazeNet_epoch173.pth,18.99268997015669,0.8815800578594207
net2,174,DehazeNet_epoch174.pth,19.03105575964843,0.882548135638237
net2,175,DehazeNet_epoch175.pth,19.01082257140179,0.8823642928600312
net2,176,DehazeNet_epoch176.pth,19.09456492488349,0.8848932256698608
net2,177,DehazeNet_epoch177.pth,19.036979619009326,0.8843966038227081
net2,178,DehazeNet_epoch178.pth,18.92499035845208,0.8834792430400848
net2,179,DehazeNet_epoch179.pth,18.752312231456074,0.8821129524707794
net2,180,DehazeNet_epoch180.pth,19.12641225434703,0.8850456758737564
net2,181,DehazeNet_epoch181.pth,19.062017335655487,0.8846919521093368
net2,182,DehazeNet_epoch182.pth,18.87945119865433,0.8836786607503891
net2,183,DehazeNet_epoch183.pth,18.80176697108652,0.8812570462226867
net2,184,DehazeNet_epoch184.pth,19.089449619884494,0.8856727446317673
net2,185,DehazeNet_epoch185.pth,18.689373960898774,0.8806104649305344
net2,186,DehazeNet_epoch186.pth,18.698990777945255,0.8770427379608154
net2,187,DehazeNet_epoch187.pth,19.056930218446716,0.8838188759088517
net2,188,DehazeNet_epoch188.pth,18.84416450446754,0.8822763217687607
net2,189,DehazeNet_epoch189.pth,19.12825104625705,0.8846588011980057
net2,190,DehazeNet_epoch190.pth,19.054018508962812,0.8846993829011918
net2,191,DehazeNet_epoch191.pth,19.1121630850049,0.883475959777832
net2,192,DehazeNet_epoch192.pth,18.94138525420414,0.8846789602041244
net2,193,DehazeNet_epoch193.pth,19.08296184057807,0.8852040160894394
net2,194,DehazeNet_epoch194.pth,18.921341939370446,0.883112179517746
net2,195,DehazeNet_epoch195.pth,19.099297590498868,0.8808603218793869
net2,196,DehazeNet_epoch196.pth,19.071289640627498,0.8837465300559998
net2,197,DehazeNet_epoch197.pth,18.972747155413998,0.8819200247526169
net2,198,DehazeNet_epoch198.pth,19.135995795382243,0.8830249757766724
net2,199,DehazeNet_epoch199.pth,18.807542925354564,0.8804247041940689
