net,model,avg_psnr,avg_ssim
net1,DehazeNet_epoch145.pth,19.360763508148874,0.8690010716806863
net1,DehazeNet_epoch121.pth,19.564259634878194,0.8673165186363189
net1,DehazeNet_epoch67.pth,19.3473641272007,0.8651734126038987
net1,DehazeNet_epoch65.pth,19.351462540021764,0.8643955044908906
net1,DehazeNet_epoch4.pth,19.019643069311115,0.8727432563511875
net1,DehazeNet_epoch64.pth,19.15386422479735,0.8572524700209233
net1,DehazeNet_epoch93.pth,19.28196868838461,0.8598735197694057
net1,DehazeNet_epoch160.pth,19.407563664856962,0.8658620062113855
net1,DehazeNet_epoch10.pth,19.055328989210903,0.8764435881060274
net1,DehazeNet_epoch61.pth,19.28381595262309,0.8635454017239274
net1,DehazeNet_epoch191.pth,19.14023661760944,0.8581918333906158
net1,DehazeNet_epoch36.pth,19.209876569884166,0.8758523399142029
net1,DehazeNet_epoch95.pth,19.38923716104436,0.8631731421240638
net1,DehazeNet_epoch179.pth,19.514357091365493,0.8668583438086029
net1,DehazeNet_epoch140.pth,19.34601921808734,0.8623399663186537
net1,DehazeNet_epoch189.pth,19.466377067137255,0.8637859626297452
net1,DehazeNet_epoch13.pth,19.11723169006968,0.8760770384044716
net1,DehazeNet_epoch102.pth,19.477492448657646,0.8690478355786726
net1,DehazeNet_epoch174.pth,19.135450037238634,0.8578447684062114
net1,DehazeNet_epoch141.pth,19.32379175633399,0.8641386767020338
net1,DehazeNet_epoch16.pth,18.897197668255913,0.8698517871674206
net1,DehazeNet_epoch198.pth,19.477923135917944,0.8660328517639764
net1,DehazeNet_epoch157.pth,19.382490132270814,0.8643808552171441
net1,DehazeNet_epoch32.pth,19.07084544971859,0.8739177043944611
net1,DehazeNet_epoch19.pth,19.15080131711804,0.8747405762963727
net1,DehazeNet_epoch190.pth,19.474685093723505,0.8666376393468002
net1,DehazeNet_epoch125.pth,19.440957951029787,0.867740147861325
net1,DehazeNet_epoch86.pth,19.41766687806839,0.8659237159100798
net1,DehazeNet_epoch52.pth,19.077888929132445,0.8589155039228932
net1,DehazeNet_epoch24.pth,19.127587433598382,0.8757559422325644
net1,DehazeNet_epoch75.pth,19.368462785045352,0.8652809943984147
